S,G,D,start,stop,asymptote
12,4,4,0.0,0.3851001402891168,0.3851001402891168
14,4,4,0.0,0.3417386139600888,0.3417386139600888
2,6,4,0.0,0.940698587547862,0.940698587547862
4,6,4,0.0,0.6160752893990753,0.6160752893990753
6,6,4,0.0,0.3014419759664432,0.3014419759664432
8,6,4,0.0,0.04808108996278209,0.04808108996278209
10,6,4,0.0,,0.0
12,6,4,0.0,,0.0
14,6,4,0.0,,0.0
2,8,4,0.0,0.9350952398622339,0.9350952398622339
4,8,4,0.0,0.5145643042204165,0.5145643042204165
6,8,4,0.0,0.04808108996278209,0.04808108996278209
8,8,4,0.0,,0.0
10,8,4,0.0,,0.0
12,8,4,0.0,,0.0
14,8,4,0.0,,0.0
2,10,4,0.0,0.9312927900152128,0.9312927900152128
4,10,4,0.0,0.44077104503756914,0.44077104503756914
6,10,4,0.0,,0.0
8,10,4,0.0,,0.0
10,10,4,0.0,,0.0
12,10,4,0.0,,0.0
14,10,4,0.0,,0.0
2,12,4,0.0,0.9285719594823303,0.9285719594823303
4,12,4,0.0,0.3851001402891168,0.3851001402891168
6,12,4,0.0,,0.0
8,12,4,0.0,,0.0
10,12,4,0.0,,0.0
12,12,4,0.0,,0.0
14,12,4,0.0,,0.0
2,14,4,0.0,0.9265359358096434,0.9265359358096434
4,14,4,0.0,0.3417386139600888,0.3417386139600888
6,14,4,0.0,,0.0
8,14,4,0.0,,0.0
10,14,4,0.0,,0.0
12,14,4,0.0,,0.0
14,14,4,0.0,,0.0
2,2,8,0.0,,0.0
4,2,8,0.0,0.9637200090623782,0.9637200090623782
6,2,8,0.0,0.9972051595891162,0.9972051595891162
8,2,8,0.0,0.9972489420696349,0.9972489420696349
10,2,8,0.0,0.9971260431547904,0.9971260431547904
12,2,8,0.0,0.997002277978686,0.997002277978686
14,2,8,0.0,0.9968958817213633,0.9968958817213633
2,4,8,0.0,0.9637200090623782,0.9637200090623782
4,4,8,0.0,0.9775332957704358,0.9775332957704358
6,4,8,0.0,0.9585188784281611,0.9585188784281611
8,4,8,0.0,0.9433691914553111,0.9433691914553111
10,4,8,0.0,0.9316650234568016,0.9316650234568016
12,4,8,0.0,0.9225078776754181,0.9225078776754181
14,4,8,0.0,0.9152004794402501,0.9152004794402501
2,6,8,0.0,0.9972051595891162,0.9972051595891162
4,6,8,0.0,0.9585188784281611,0.9585188784281611
6,6,8,0.0,0.9071354379459584,0.9071354379459584
8,6,8,0.0,0.8611704114879251,0.8611704114879251
10,6,8,0.0,0.8228472703543103,0.8228472703543103
12,6,8,0.0,0.7912056509308452,0.7912056509308452
14,6,8,0.0,0.7649225497010469,0.7649225497010469
2,8,8,0.0,0.9972489420696349,0.9972489420696349
4,8,8,0.0,0.9433691914553111,0.9433691914553111
6,8,8,0.0,0.8611704114879251,0.8611704114879251
8,8,8,0.0,0.7811857590749927,0.7811857590749927
10,8,8,0.0,0.7104992380008365,0.7104992380008365
12,8,8,0.0,0.6495704514844218,0.6495704514844218
14,8,8,0.0,0.5972528568204343,0.5972528568204343
2,10,8,0.0,0.9971260431547904,0.9971260431547904
4,10,8,0.0,0.9316650234568016,0.9316650234568016
6,10,8,0.0,0.8228472703543103,0.8228472703543103
8,10,8,0.0,0.7104992380008365,0.7104992380008365
10,10,8,0.0,0.606782070998628,0.606782070998628
12,10,8,0.0,0.5143263350467697,0.5143263350467697
14,10,8,0.0,0.43278791911817555,0.43278791911817555
2,12,8,0.0,0.997002277978686,0.997002277978686
4,12,8,0.0,0.9225078776754181,0.9225078776754181
6,12,8,0.0,0.7912056509308452,0.7912056509308452
8,12,8,0.0,0.6495704514844218,0.6495704514844218
10,12,8,0.0,0.5143263350467697,0.5143263350467697
12,12,8,0.0,0.3904887153282195,0.3904887153282195
14,12,8,0.0,0.278862111985378,0.278862111985378
2,14,8,0.0,0.9968958817213633,0.9968958817213633
4,14,8,0.0,0.9152004794402501,0.9152004794402501
6,14,8,0.0,0.7649225497010469,0.7649225497010469
8,14,8,0.0,0.5972528568204343,0.5972528568204343
10,14,8,0.0,0.43278791911817555,0.43278791911817555
12,14,8,0.0,0.278862111985378,0.278862111985378
14,14,8,0.0,0.13757061881311305,0.13757061881311305
2,2,16,0.0,,0.0
4,2,16,0.0,0.10894393375141734,0.10894393375141734
6,2,16,0.0,0.5169960176849863,0.5169960176849863
8,2,16,0.0,0.9980028938535129,0.9980028938535129
10,2,16,0.0,0.9999858593234204,0.9999858593234204
12,2,16,0.0,0.9999886209103546,0.9999886209103546
14,2,16,0.0,0.9999891201815374,0.9999891201815374
2,4,16,0.0,0.10894393375141734,0.10894393375141734
4,4,16,0.0,0.9840295986360519,0.9840295986360519
6,4,16,0.0,0.9983523761753048,0.9983523761753048
8,4,16,0.0,0.9975908655724262,0.9975908655724262
