S,D,gen,compositionality
3,2,68,4.3504367593570786e-10
3,2,69,4.2967276632120435e-10
3,2,70,4.2436816423366736e-10
3,2,71,4.19129051061629e-10
3,2,72,4.139546182999411e-10
3,2,73,4.088440674249978e-10
3,2,74,4.0379660977151285e-10
3,2,75,3.988114664108044e-10
3,2,76,3.938878680306004e-10
3,2,77,3.890250548163043e-10
3,2,78,3.8422227633375444e-10
3,2,79,3.7947879141340564e-10
3,2,80,3.747938680359545e-10
3,2,81,3.7016678321937335e-10
3,2,82,3.65596822907339e-10
3,2,83,3.610832818590387e-10
3,2,84,3.5662546354033677e-10
3,2,85,3.5222268001628604e-10
3,2,86,3.478742518449622e-10
3,2,87,3.4357950797261346e-10
3,2,88,3.393377856301026e-10
3,2,89,3.3514843023062857e-10
3,2,90,3.310107952687081e-10
3,2,91,3.2692424222040884e-10
3,2,92,3.228881404448087e-10
3,2,93,3.1890186708667636e-10
3,2,94,3.149648069803529e-10
3,2,95,3.1107635255481593e-10
3,2,96,3.072359037399226e-10
3,2,97,3.0344286787380126e-10
3,2,98,2.9969665961139305e-10
3,2,99,2.9599670083412525e-10
3,2,100,2.92342420560688e-10
3,2,101,2.8873325485892654e-10
4,2,1,1.0e-9
4,2,2,8.203124998632802e-10
4,2,3,6.729125974520972e-10
4,2,4,5.519986150355147e-10
4,2,5,4.528113638546617e-10
4,2,6,3.714468218839945e-10
4,2,7,3.047024710578502e-10
4,2,8,2.499512457769489e-10
4,2,9,2.0503813129286126e-10
4,2,10,1.6819534207042746e-10
4,2,11,1.3797274153827955e-10
4,2,12,1.1318076454051713e-10
4,2,13,9.284359591039136e-11
4,2,14,7.616076226906421e-11
4,2,15,6.247562529804862e-11
4,2,16,5.124953637677186e-11
4,2,17,4.204063530871157e-11
4,2,18,3.448645865143584e-11
4,2,19,2.828967311234335e-11
4,2,20,2.3206372474859706e-11
4,2,21,1.9036477420709677e-11
4,2,22,1.561586038412636e-11
4,2,23,1.2809885471320324e-11
4,2,24,1.0508109175669972e-11
4,2,25,8.619933308151647e-12
4,2,26,7.071039041832978e-12
4,2,27,5.800461713996767e-12
4,2,28,4.758191249758356e-12
4,2,29,3.903203759564303e-12
4,2,30,3.2018468340155044e-12
4,2,31,2.6265149810269392e-12
4,2,32,2.15456307037272e-12
4,2,33,1.7674150186644893e-12
4,2,34,1.4498326324977872e-12
4,2,35,1.1893158313455515e-12
4,2,36,9.756106429004535e-13
4,2,37,8.003056055041441e-13
4,2,38,6.565006920150293e-13
4,2,39,5.38535723918518e-13
4,2,40,4.4176758602686743e-13
4,2,41,3.6238747291263804e-13
4,2,42,2.972709738736298e-13
4,2,43,2.438550957556987e-13
4,2,44,2.0003738323708766e-13
4,2,45,1.6409316593666803e-13
4,2,46,1.34607675182419e-13
4,2,47,1.1042035854807537e-13
4,2,48,9.057920037146623e-14
4,2,49,7.430325030471717e-14
4,2,50,6.095188501558748e-14
4,2,51,4.9999593176848553e-14
4,2,52,4.101529127788319e-14
4,2,53,3.3645356126388187e-14
4,2,54,2.7599706197427644e-14
4,2,55,2.2640383990077164e-14
4,2,56,1.8572189991860095e-14
4,2,57,1.5234999602697684e-14
4,2,58,1.2497460611587909e-14
4,2,59,1.0251823157943183e-14
4,2,60,8.409698684250281e-15
4,2,61,6.898580951924023e-15
4,2,62,5.658992187125149e-15
4,2,63,4.642142028501094e-15
4,2,64,3.808007132754786e-15
4,2,65,3.123755851087897e-15
4,2,66,2.5624559715955483e-15
4,2,67,2.1020146641994797e-15
4,2,68,1.7243089042261409e-15
4,2,69,1.4144721479980107e-15
4,2,70,1.1603091839046221e-15
4,2,71,9.518161274217636e-16
4,2,72,7.807866670256678e-16
4,2,73,6.404890627944954e-16
4,2,74,5.254011843236113e-16
4,2,75,4.3099315901546387e-16
4,2,76,3.5354907575487393e-16
4,2,77,2.90020726205171e-16
4,2,78,2.379076269651802e-16
4,2,79,1.9515860024487503e-16
4,2,80,1.6009103926337464e-16
4,2,81,1.3132468064573748e-16
4,2,82,1.0772727709220688e-16
4,2,83,8.837003198970126e-17
4,2,84,7.249104186655207e-17
4,2,85,5.94653077811562e-17
4,2,86,4.8780135289229874e-17
4,2,87,4.0014954729446524e-17
4,2,88,3.2824767551499213e-17
4,2,89,2.6926567132089294e-17
4,2,90,2.2088199600542078e-17
4,2,91,1.8119226234819737e-17
4,2,92,1.4863427770750617e-17
4,2,93,1.2192655593193908e-17
4,2,94,1.0001787791291913e-17
4,2,95,8.204591547544177e-18
4,2,96,6.7303290038448565e-18
4,2,97,5.520973010966504e-18
4,2,98,4.528923173058476e-18
4,2,99,3.715132290399544e-18
4,2,100,3.047569456968387e-18
4,2,101,2.4999593201693886e-18
5,2,1,1.0e-9
5,2,2,6.91199999899199e-10
5,2,3,4.777574398821667e-10
5,2,4,3.302259424235445e-10
5,2,5,2.2825217139216158e-10
5,2,6,1.5776790086101058e-10
5,2,7,1.0904917307262106e-10
5,2,8,7.537478842659673e-11
5,2,9,5.209905375989094e-11
5,2,10,3.601086595856294e-11
5,2,11,2.489071055042791e-11
5,2,12,1.7204459132393267e-11
5,2,13,1.1891722152280357e-11
5,2,14,8.219558351641922e-12
5,2,15,5.681358732648076e-12
5,2,16,3.926955156003095e-12
5,2,17,2.714311403827779e-12
5,2,18,1.8761320423250168e-12
5,2,19,1.2967824676546944e-12
5,2,20,8.96336041642755e-13
5,2,21,6.195474719833901e-13
5,2,22,4.282312126348803e-13
5,2,23,2.959934141732093e-13
5,2,24,2.0459064787651292e-13
5,2,25,1.4141305581224121e-13
5,2,26,9.774470417741896e-14
5,2,27,6.756113952743067e-14
5,2,28,4.669825964135953e-14
5,2,29,3.227783706410747e-14
5,2,30,2.231044097871096e-14
5,2,31,1.542097680448494e-14
5,2,32,1.0658979167259965e-14
5,2,33,7.367486400410057e-15
5,2,34,5.092406599963435e-15
5,2,35,3.5198714418947183e-15
5,2,36,2.4329351406376344e-15
5,2,37,1.6816447692087374e-15
5,2,38,1.1623528644770828e-15
5,2,39,8.034182999265618e-16
5,2,40,5.553227289092413e-16
5,2,41,3.838390702220688e-16
5,2,42,2.653095653374948e-16
5,2,43,1.8338197156127704e-16
