S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
100,1,4,10,1,1,10,0,12,6.5,1,39,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,40,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,41,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,42,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,43,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,44,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,45,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,46,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,47,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,48,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,49,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,50,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,51,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,52,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,53,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,54,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,55,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,56,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,57,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,58,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,59,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,60,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,61,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,62,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,63,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,64,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,65,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,66,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,67,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,68,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,69,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,70,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,71,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,72,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,73,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,74,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,75,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,76,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,77,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,78,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,79,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,80,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,81,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,82,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,83,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,84,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,85,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,86,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,87,6.2832780549999985,0.9999999999999998
100,1,4,10,1,1,10,0,12,6.5,1,88,6.2832780549999985,0.9999999999999998
