S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
6,11,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.9926538108356,96.9926538108356,96.9926538108356,125.80498163452708
7,11,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.41946365322987,97.41946365322987,97.41946365322987,127.83757800640916
8,11,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.7401859504132,97.7401859504132,97.7401859504132,129.39959969008262
9,11,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.99000102030404,97.99000102030404,97.99000102030404,130.63677175798384
10,11,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.19008264462809,98.19008264462809,98.19008264462809,131.6405371900826
11,11,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.35393757257016,98.35393757257016,98.35393757257016,132.47107438016525
1,12,2,100,49,1,100,0,150,99.5,49,1.0,1.0,91.43402777777774,91.43402777777774,84.02777777777774,91.43402777777774
2,12,2,100,49,1,100,0,150,99.5,49,0.15384615384615347,0.15384615384615347,92.32790927021695,92.32790927021695,91.84027777777777,104.05902777777776
3,12,2,100,49,1,100,0,150,99.5,49,0.0,0.0,94.52160493827158,94.52160493827158,94.52160493827158,113.8784722222222
4,12,2,100,49,1,100,0,150,99.5,49,0.0,0.0,95.87673611111109,95.87673611111109,95.87673611111109,119.84027777777774
5,12,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.69444444444441,96.69444444444441,96.69444444444441,123.75402777777775
6,12,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.241512345679,97.241512345679,97.241512345679,126.50347222222219
7,12,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.63321995464851,97.63321995464851,97.63321995464851,128.53606859410428
8,12,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.9275173611111,97.9275173611111,97.9275173611111,130.09809027777777
9,12,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.15672153635113,98.15672153635113,98.15672153635113,131.33526234567898
10,12,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.34027777777776,98.34027777777776,98.34027777777776,132.33902777777774
11,12,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.49058769513313,98.49058769513313,98.49058769513313,133.1695649678604
