S,G,D,ε,β,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
1,5,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.30018813124698773,0.30018813124698773,19.015171053478173,19.015171053478173,16.777216000000006,38.388608000000005
2,5,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9000361280929968,0.9000361280929968,38.71886914555756,38.71886914555756,43.04672100000001,38.583920500000005
3,5,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9316274972427192,0.9316274972427192,41.68830550062739,41.68830550062739,57.582990144185345,40.339530115531176
4,5,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9238586495187537,0.9238586495187537,45.04854796282747,45.04854796282747,66.34204312890623,43.39425375195313
5,5,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9099195705097414,0.9099195705097414,48.61337169793392,48.61337169793392,72.13895789838334,46.77721600000001
1,6,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.492465357014089,0.492465357014089,27.737840338214568,27.737840338214568,23.256803936137793,41.6284019680689
2,6,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9297773338928832,0.9297773338928832,42.58757341309493,42.58757341309493,49.853024673868894,41.8237144680689
3,6,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9361356735437322,0.9361356735437322,45.00751190908115,45.00751190908115,63.30111067903695,43.57932408360007
4,6,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9183374195833608,0.9183374195833608,48.33609065810612,48.33609065810612,71.14309495023396,46.634047720022025
5,6,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.8951670646298698,0.8951670646298698,51.979230179688045,51.979230179688045,76.24545236412132,50.017009968068905
6,6,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.8714613326895841,0.8714613326895841,55.462594240193525,55.462594240193525,79.82232045172886,53.2568039361378
2,2,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.0291604075999772,0.0291604075999772,3.6948761196043516,3.6948761196043516,1.0022595757618546,30.00152587890625
1,3,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.02582425948724503,0.02582425948724503,2.8102617337703477,2.8102617337703477,0.15224388403474176,30.07612194201737
2,3,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.05730413681539722,0.05730413681539722,7.493851706796932,7.493851706796932,5.408789293239547,30.076884881470495
3,3,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.23446814571447488,0.23446814571447488,13.806491833229309,13.806491833229309,15.190065300101342,30.152243884034743
