S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
2,2,3,100,49,1,100,0,150,99.5,49,100,58.64208083046324,0.898266911282313
2,2,3,100,49,1,100,0,150,99.5,49,101,58.64508778889554,0.8983896424801733
1,3,3,100,49,1,100,0,150,99.5,49,1,4.9e-5,1.0e-6
1,3,3,100,49,1,100,0,150,99.5,49,2,29.629650962974306,1.3333326666669994e-6
1,3,3,100,49,1,100,0,150,99.5,49,3,29.629658074080016,1.7777757037061229e-6
1,3,3,100,49,1,100,0,150,99.5,49,4,29.62966755554714,2.3703654979524016e-6
1,3,3,100,49,1,100,0,150,99.5,49,5,29.629680197490615,3.160483584852578e-6
1,3,3,100,49,1,100,0,150,99.5,49,6,29.62969705339266,4.213971454042966e-6
1,3,3,100,49,1,100,0,150,99.5,49,7,29.629719527888586,5.618616767045291e-6
1,3,3,100,49,1,100,0,150,99.5,49,8,29.629749493811794,7.49146797688326e-6
1,3,3,100,49,1,100,0,150,99.5,49,9,29.62978944824921,9.988586554589538e-6
1,3,3,100,49,1,100,0,150,99.5,49,10,29.62984272060689,1.3318048891877346e-5
1,3,3,100,49,1,100,0,150,99.5,49,11,29.62991375001621,1.775728027633969e-5
1,3,3,100,49,1,100,0,150,99.5,49,12,29.630008455182523,2.367616348965077e-5
1,3,3,100,49,1,100,0,150,99.5,49,13,29.63013472747047,3.156784428347992e-5
1,3,3,100,49,1,100,0,150,99.5,49,14,29.6303030882684,4.208979470259747e-5
1,3,3,100,49,1,100,0,150,99.5,49,15,29.630527565327668,5.61185452611059e-5
1,3,3,100,49,1,100,0,150,99.5,49,16,29.630826860954144,7.482262754630425e-5
1,3,3,100,49,1,100,0,150,99.5,49,17,29.63122590913349,9.975977125097323e-5
1,3,3,100,49,1,100,0,150,99.5,49,18,29.63175795087413,0.00013300639399092782
1,3,3,100,49,1,100,0,150,99.5,49,19,29.632467299866647,0.00017733006563833413
1,3,3,100,49,1,100,0,150,99.5,49,20,29.63341302742668,0.00023641912540842995
1,3,3,100,49,1,100,0,150,99.5,49,21,29.63467387112575,0.00031518824228080386
1,3,3,100,49,1,100,0,150,99.5,49,22,29.636354771411604,0.00042018477105967096
1,3,3,100,49,1,100,0,150,99.5,49,23,29.6385955724953,0.0005601286826469493
1,3,3,100,49,1,100,0,150,99.5,49,24,29.641582597585938,0.0007466291393475478
1,3,3,100,49,1,100,0,150,99.5,49,25,29.645564036453557,0.0009951340211529812
1,3,3,100,49,1,100,0,150,99.5,49,26,29.650870380362857,0.0013261854955482649
1,3,3,100,49,1,100,0,150,99.5,49,27,29.657941523459073,0.0017670755929028081
1,3,3,100,49,1,100,0,150,99.5,49,28,29.66736264044427,0.0023540209257006455
1,3,3,100,49,1,100,0,150,99.5,49,29,29.679911567150146,0.0031350046394570162
1,3,3,100,49,1,100,0,150,99.5,49,30,29.69662116683712,0.004173464287090469
1,3,3,100,49,1,100,0,150,99.5,49,31,29.718861057355646,0.005553031410878082
1,3,3,100,49,1,100,0,150,99.5,49,32,29.748444061574272,0.007383541520655026
1,3,3,100,49,1,100,0,150,99.5,49,33,29.78776370871502,0.009808511746018583
1,3,3,100,49,1,100,0,150,99.5,49,34,29.839969797852547,0.013014192275088567
