S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
14,3,20,100,30,0,100,0,130,80.0,30,0.9998693977878694,0.9998693977878694,41.36999044161074,41.36999044161074,61.75773028082446,41.372368839576346
1,4,20,100,30,0,100,0,130,80.0,30,0.0,0.0,0.3171211938933993,0.3171211938933993,0.3171211938933993,30.1585605969467
2,4,20,100,30,0,100,0,130,80.0,30,0.0,0.0,6.920875877393029,6.920875877393029,6.920875877393029,30.15860828066252
3,4,20,100,30,0,100,0,130,80.0,30,0.27610006601766995,0.27610006601766995,13.24837285948742,13.24837285948742,17.548046728482745,30.17359702993778
4,4,20,100,30,0,100,0,130,80.0,30,0.6073036795696413,0.6073036795696413,20.282822185731508,20.282822185731508,27.505878988833633,30.3171211938934
5,4,20,100,30,0,100,0,130,80.0,30,0.9907274986070066,0.9907274986070066,30.485253789728528,30.485253789728528,35.848592240854195,30.735021349250125
6,4,20,100,30,0,100,0,130,80.0,30,0.9995015378119689,0.9995015378119689,31.45020073911615,31.45020073911615,42.6905633769153,31.462763262176143
7,4,20,100,30,0,100,0,130,80.0,30,0.9994890385334374,0.9994890385334374,32.43767185123896,32.43767185123896,48.318634928258234,32.44960872085016
8,4,20,100,30,0,100,0,130,80.0,30,0.99941161450183,0.99941161450183,33.6062577025925,33.6062577025925,52.99492846831235,33.618998535643215
9,4,20,100,30,0,100,0,130,80.0,30,0.9993192786178509,0.9993192786178509,34.88637684293338,34.88637684293338,56.92602663480327,34.900102089799546
10,4,20,100,30,0,100,0,130,80.0,30,0.9992237141814777,0.9992237141814777,36.222714606228806,36.222714606228806,60.26876802191001,36.23739332647517
11,4,20,100,30,0,100,0,130,80.0,30,0.99912939486626,0.99912939486626,37.57517433841245,37.57517433841245,63.14159988458924,37.59074199815388
12,4,20,100,30,0,100,0,130,80.0,30,0.9990383409073493,0.9990383409073493,38.91618163827855,38.91618163827855,65.6345347660714,38.93258396118807
13,4,20,100,30,0,100,0,130,80.0,30,0.9989514758714527,0.9989514758714527,40.22756594332392,40.22756594332392,67.81669942663233,40.24476764753479
14,4,20,100,30,0,100,0,130,80.0,30,0.9988691641125038,0.9988691641125038,41.49790997166437,41.49790997166437,69.74181568270797,41.515893003531964
1,5,20,100,30,0,100,0,130,80.0,30,0.0,0.0,1.152921504606852,1.152921504606852,1.152921504606852,30.576460752303426
2,5,20,100,30,0,100,0,130,80.0,30,0.1441741531302312,0.1441741531302312,10.34288508297922,10.34288508297922,12.157665459056933,30.576508436019246
3,5,20,100,30,0,100,0,130,80.0,30,0.520680636937839,0.520680636937839,18.803618558251088,18.803618558251088,25.16144232366705,30.591497185294507
4,5,20,100,30,0,100,0,130,80.0,30,0.9907274986070066,0.9907274986070066,30.485253789728528,30.485253789728528,35.848592240854195,30.735021349250125
5,5,20,100,30,0,100,0,130,80.0,30,0.9993316085941417,0.9993316085941417,31.135956091362537,31.135956091362537,44.20024338794074,31.15292150460685
6,5,20,100,30,0,100,0,130,80.0,30,0.9990909271891579,0.9990909271891579,31.85937790189747,31.85937790189747,50.761548692356264,31.88066341753287
7,5,20,100,30,0,100,0,130,80.0,30,0.9987550566822128,0.9987550566822128,32.840862013309035,32.840862013309035,56.00379456467639,32.86750887620688
8,5,20,100,30,0,100,0,130,80.0,30,0.9983843940936286,0.9983843940936286,34.00531999842665,34.00531999842665,60.26876802191001,34.03689869099994
9,5,20,100,30,0,100,0,130,80.0,30,0.9980030021883576,0.9980030021883576,35.282204009007565,35.282204009007565,63.79744030578555,35.31800224515627
10,5,20,100,30,0,100,0,130,80.0,30,0.9976241619732515,0.9976241619732515,36.615939653881775,36.615939653881775,66.76079717550942,36.65529348183189
11,5,20,100,30,0,100,0,130,80.0,30,0.9972555045255714,0.9972555045255714,37.96624570221472,37.96624570221472,69.28215799268106,38.0086421535106
12,5,20,100,30,0,100,0,130,80.0,30,0.9969012674247644,0.9969012674247644,39.30539628127426,39.30539628127426,71.4521374790554,39.3504841165448
13,5,20,100,30,0,100,0,130,80.0,30,0.9965635874598419,0.9965635874598419,40.615102055687544,40.615102055687544,73.33855467540388,40.66266780289152
14,5,20,100,30,0,100,0,130,80.0,30,0.9962432990285377,0.9962432990285377,41.88385800950263,41.88385800950263,74.99304957780993,41.93379315888869
1,6,20,100,30,0,100,0,130,80.0,30,0.0,0.0,2.608405330458885,2.608405330458885,2.608405330458885,31.30420266522944
2,6,20,100,30,0,100,0,130,80.0,30,0.28922887308639933,0.28922887308639933,14.349806866432957,14.349806866432957,17.548046728482745,31.304250348945263
3,6,20,100,30,0,100,0,130,80.0,30,0.7964067121101694,0.7964067121101694,26.197195643111716,26.197195643111716,31.880735010388182,31.319239098220528
4,6,20,100,30,0,100,0,130,80.0,30,0.9995015378119689,0.9995015378119689,31.45020073911615,31.45020073911615,42.6905633769153,31.462763262176143
5,6,20,100,30,0,100,0,130,80.0,30,0.9990909271891579,0.9990909271891579,31.85937790189747,31.85937790189747,50.761548692356264,31.88066341753287
6,6,20,100,30,0,100,0,130,80.0,30,0.9984508571335615,0.9984508571335615,32.57543344171822,32.57543344171822,56.92602663480327,32.608405330458886
7,6,20,100,30,0,100,0,130,80.0,30,0.997680236257181,0.997680236257181,33.55087840560795,33.55087840560795,61.75773028082446,33.5952507891329
8,6,20,100,30,0,100,0,130,80.0,30,0.9968389307001515,0.9968389307001515,34.71045177616751,34.71045177616751,65.6345347660714,34.764640603925955
9,6,20,100,30,0,100,0,130,80.0,30,0.995968834734454,0.995968834734454,35.983610149851174,35.983610149851174,68.80851664652293,36.045744158082286
10,6,20,100,30,0,100,0,130,80.0,30,0.9950978688884103,0.9950978688884103,37.31460393730681,37.31460393730681,71.4521374790554,37.38303539475791
11,6,20,100,30,0,100,0,130,80.0,30,0.9942437774231376,0.9942437774231376,38.66289774057698,38.66289774057698,73.68658370714144,38.73638406643662
12,6,20,100,30,0,100,0,130,80.0,30,0.9934172800872964,0.9934172800872964,40.00051337551176,40.00051337551176,75.59917319059151,40.07822602947081
13,6,20,100,30,0,100,0,130,80.0,30,0.9926243963908572,0.9926243963908572,41.30894850506611,41.30894850506611,77.25426226984423,41.39040971581754
14,6,20,100,30,0,100,0,130,80.0,30,0.9918680642015341,0.9918680642015341,42.57653463079029,42.57653463079029,78.7002525983195,42.66153507181471
1,7,20,100,30,0,100,0,130,80.0,30,0.00861420302331646,0.00861420302331646,4.476502397005505,4.476502397005505,4.582096247806911,32.29104812390346
2,7,20,100,30,0,100,0,130,80.0,30,0.44301308864784006,0.44301308864784006,19.084449436323624,19.084449436323624,22.714664813170526,32.29109580761928
3,7,20,100,30,0,100,0,130,80.0,30,0.9997102662997532,0.9997102662997532,32.29890548058577,32.29890548058577,37.68894828730003,32.30608455689453
4,7,20,100,30,0,100,0,130,80.0,30,0.9994890385334374,0.9994890385334374,32.43767185123896,32.43767185123896,48.318634928258234,32.44960872085016
5,7,20,100,30,0,100,0,130,80.0,30,0.9987550566822128,0.9987550566822128,32.840862013309035,32.840862013309035,56.00379456467639,32.86750887620688
6,7,20,100,30,0,100,0,130,80.0,30,0.997680236257181,0.997680236257181,33.55087840560795,33.55087840560795,61.75773028082446,33.5952507891329
7,7,20,100,30,0,100,0,130,80.0,30,0.9963673210602789,0.9963673210602789,34.52090903088909,34.52090903088909,66.20688376704283,34.58209624780691
8,7,20,100,30,0,100,0,130,80.0,30,0.9949117113363194,0.9949117113363194,35.67645634960911,35.67645634960911,69.74181568270797,35.75148606259997
9,7,20,100,30,0,100,0,130,80.0,30,0.9933866326424258,0.9933866326424258,36.94715138817954,36.94715138817954,72.61440797228228,37.032589616756304
10,7,20,100,30,0,100,0,130,80.0,30,0.9918434256360324,0.9918434256360324,38.277044339500016,38.277044339500016,74.99304957780993,38.36988085343192
11,7,20,100,30,0,100,0,130,80.0,30,0.9903162060348356,0.9903162060348356,39.6252493775209,39.6252493775209,76.99408145210016,39.72322952511063
12,7,20,100,30,0,100,0,130,80.0,30,0.9888266631123594,0.9888266631123594,40.96342334028721,40.96342334028721,78.7002525983195,41.065071488144824
13,7,20,100,30,0,100,0,130,80.0,30,0.9873878829038301,0.9873878829038301,42.27274734619703,42.27274734619703,80.17193069334442,42.377255174491545
14,7,20,100,30,0,100,0,130,80.0,30,0.9860071299582608,0.9860071299582608,43.54130485719073,43.54130485719073,81.45414164201034,43.648380530488716
