S,D,ε,β,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
4,16,0.05,2.0,3,8,10,0,11,7.0,3,0.8072279490583827,0.8072279490583827,2.796543067741811,2.796543067741811,3.5607413045179275,3.080180766060948
4,32,0.05,2.0,3,8,10,0,11,7.0,3,0.20551105989180163,0.20551105989180163,0.9683889067833915,0.9683889067833915,1.2678878637700028,3.0008036194057643
4,64,0.05,2.0,3,8,10,0,11,7.0,3,0.0386202875410362,0.0386202875410362,0.31250969019278424,0.31250969019278424,0.16075396350952673,3.0000000807255183
4,2,0.05,2.0,4,8,10,0,12,8.0,4,0.15184688982474662,0.15184688982474662,8.753996379035982,8.753996379035982,8.789062499999996,8.499999999999998
4,4,0.05,2.0,4,8,10,0,12,8.0,4,0.7134077219404178,0.7134077219404178,6.769060959635844,6.769060959635844,7.724761962890621,6.53125
4,8,0.05,2.0,4,8,10,0,12,8.0,4,0.920008936148571,0.920008936148571,4.885692420338733,4.885692420338733,5.967194738332181,4.8009033203125
4,16,0.05,2.0,4,8,10,0,12,8.0,4,0.8021972671491815,0.8021972671491815,3.589828709197922,3.589828709197922,3.5607413045179275,4.0801807660609475
4,32,0.05,2.0,4,8,10,0,12,8.0,4,0.2002343430617781,0.2002343430617781,1.170205992406454,1.170205992406454,1.2678878637700028,4.000803619405764
4,64,0.05,2.0,4,8,10,0,12,8.0,4,0.037067556178399255,0.037067556178399255,0.3513907688879028,0.3513907688879028,0.16075396350952673,4.000000080725519
4,2,0.05,2.0,5,8,10,0,13,9.0,5,0.08697561748267478,0.08697561748267478,8.890252617501384,8.890252617501384,8.789062499999996,9.499999999999998
4,4,0.05,2.0,5,8,10,0,13,9.0,5,0.5744528512741469,0.5744528512741469,7.597651836490905,7.597651836490905,7.724761962890621,7.531249999999999
4,8,0.05,2.0,5,8,10,0,13,9.0,5,0.8737800162647006,0.8737800162647006,5.791921282532195,5.791921282532195,5.967194738332181,5.800903320312501
4,16,0.05,2.0,5,8,10,0,13,9.0,5,0.7810505645662325,0.7810505645662325,4.323421838381891,4.323421838381891,3.5607413045179275,5.080180766060948
4,32,0.05,2.0,5,8,10,0,13,9.0,5,0.18915276860067917,0.18915276860067917,1.3717427610570898,1.3717427610570898,1.2678878637700028,5.0008036194057635
4,64,0.05,2.0,5,8,10,0,13,9.0,5,0.03592154915817618,0.03592154915817618,0.39077019573421673,0.39077019573421673,0.16075396350952673,5.000000080725518
4,2,0.05,2.0,6,8,10,0,14,10.0,6,0.045443364500085404,0.045443364500085404,8.947086402201627,8.947086402201627,8.789062499999996,10.499999999999998
4,4,0.05,2.0,6,8,10,0,14,10.0,6,0.10776874480487587,0.10776874480487587,7.979654743035788,7.979654743035788,7.724761962890621,8.531249999999998
4,8,0.05,2.0,6,8,10,0,14,10.0,6,0.5861357366351351,0.5861357366351351,6.436631444685039,6.436631444685039,5.967194738332181,6.8009033203125
4,16,0.05,2.0,6,8,10,0,14,10.0,6,0.678767295152656,0.678767295152656,4.715876204641275,4.715876204641275,3.5607413045179275,6.0801807660609475
4,32,0.05,2.0,6,8,10,0,14,10.0,6,0.13578035504384262,0.13578035504384262,1.5415193124661326,1.5415193124661326,1.2678878637700028,6.0008036194057635
4,64,0.05,2.0,6,8,10,0,14,10.0,6,0.0324772303552843,0.0324772303552843,0.4326202452140834,0.4326202452140834,0.16075396350952673,6.000000080725518
4,2,0.05,2.0,7,8,10,0,15,11.0,7,0.030990803650996386,0.030990803650996386,8.968796876387085,8.968796876387085,8.789062499999996,11.499999999999998
4,4,0.05,2.0,7,8,10,0,15,11.0,7,0.038179595263089575,0.038179595263089575,7.957451328508078,7.957451328508078,7.724761962890621,9.531249999999998
4,8,0.05,2.0,7,8,10,0,15,11.0,7,0.057541403633197895,0.057541403633197895,6.298704018900271,6.298704018900271,5.967194738332181,7.8009033203125
4,16,0.05,2.0,7,8,10,0,15,11.0,7,0.3486558076400829,0.3486558076400829,4.337140204212497,4.337140204212497,3.5607413045179275,7.0801807660609475
4,32,0.05,2.0,7,8,10,0,15,11.0,7,0.05929524252229791,0.05929524252229791,1.6238162998509134,1.6238162998509134,1.2678878637700028,7.0008036194057635
4,64,0.05,2.0,7,8,10,0,15,11.0,7,0.02929467352292369,0.02929467352292369,0.4677956697424212,0.4677956697424212,0.16075396350952673,7.000000080725519
4,2,0.05,2.0,8,8,10,0,16,12.0,8,0.028518876704817953,0.028518876704817953,8.99347139750537,8.99347139750537,8.789062499999996,12.499999999999996
4,4,0.05,2.0,8,8,10,0,16,12.0,8,0.03223505675434821,0.03223505675434821,7.978433510585887,7.978433510585887,7.724761962890621,10.531249999999998
