S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
10,9,10,0,10.001,3,1,0.7121229464232987,0.7121229464232987,4.286375169147281,4.286375169147281,9.135172474836406,3.300305227120294
5,27,10,0,10.001,3,1,0.849804378508195,0.849804378508195,0.8715572142197239,0.8715572142197239,3.321416142563493,1.00970064243567
10,27,10,0,10.001,3,1,0.9952347717907761,0.9952347717907761,1.2517214575703566,1.2517214575703566,7.623427143471034,1.2495092889716874
5,81,10,0,10.001,3,1,0.009452373989610543,0.009452373989610543,0.30870388069621807,0.30870388069621807,0.3664121584659474,1.0000000565391074
10,81,10,0,10.001,3,1,0.999999796250919,0.999999796250919,1.000786538224843,1.000786538224843,4.430479816261724,1.000786701551549
5,243,10,0,10.001,3,1,5.022514815666493e-11,5.022514815666493e-11,0.0004919376575568811,0.0004919376575568811,0.000491937158907385,0.9999999999999996
10,243,10,0,10.001,3,1,0.11471025977486109,0.11471025977486109,0.14505702669642193,0.14505702669642193,0.869665590982469,1.0000000000304077
5,3,10,0,10.001,4,1,1.0702047449742624e-8,1.0702047449742624e-8,8.847359944430323,8.847359944430323,8.847359999999998,4.858694144000003
10,3,10,0,10.001,4,1,1.1329056990241086e-10,1.1329056990241086e-10,9.702989999658474,9.702989999658474,9.702989999999996,6.968854441000002
5,9,10,0,10.001,4,1,0.9675611917975832,0.9675611917975832,1.9044132590820488,1.9044132590820488,6.925339958244799,1.8593675779269567
10,9,10,0,10.001,4,1,0.7121229464232987,0.7121229464232987,4.762178946023286,4.762178946023286,9.135172474836406,3.774956934526296
5,27,10,0,10.001,4,1,0.849804378508195,0.849804378508195,0.882227129657621,0.882227129657621,3.321416142563493,1.01452465370103
10,27,10,0,10.001,4,1,0.9952347717907761,0.9952347717907761,1.3625677339287539,1.3625677339287539,7.623427143471034,1.3590459791507223
5,81,10,0,10.001,4,1,0.009452373989610543,0.009452373989610543,0.3164477897263726,0.3164477897263726,0.3664121584659474,1.00000008480866
10,81,10,0,10.001,4,1,0.999999796250919,0.999999796250919,1.0011797156501114,1.0011797156501114,4.430479816261724,1.001179878328106
5,243,10,0,10.001,4,1,5.022514815666493e-11,5.022514815666493e-11,0.000491937657757013,0.000491937657757013,0.000491937158907385,0.9999999999999996
10,243,10,0,10.001,4,1,0.11471025977486109,0.11471025977486109,0.15763626788473817,0.15763626788473817,0.869665590982469,1.0000000000456117
5,3,10,0,10.001,5,1,1.0702047449742624e-8,1.0702047449742624e-8,8.84735995389881,8.84735995389881,8.847359999999998,5.358406144000002
10,3,10,0,10.001,5,1,1.1329056990241086e-10,1.1329056990241086e-10,9.702989999718433,9.702989999718433,9.702989999999996,7.363972441000002
5,9,10,0,10.001,5,1,0.9675611917975832,0.9675611917975832,2.147293064130782,2.147293064130782,6.925339958244799,2.091774236907993
10,9,10,0,10.001,5,1,0.7121229464232987,0.7121229464232987,5.237982722899291,5.237982722899291,9.135172474836406,4.249608641932298
5,27,10,0,10.001,5,1,0.849804378508195,0.849804378508195,0.8928970450955179,0.8928970450955179,3.321416142563493,1.0193486649663899
10,27,10,0,10.001,5,1,0.9952347717907761,0.9952347717907761,1.4734140102871511,1.4734140102871511,7.623427143471034,1.468582669329757
