S,D,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
5,9,1,2,10,0,3,2.0,1,19,1.268435458796161,0.999999991828328
5,9,1,2,10,0,3,2.0,1,20,1.2684354570066176,0.9999999970581979
5,9,1,2,10,0,3,2.0,1,21,1.2684354563623823,0.9999999989409509
5,9,1,2,10,0,3,2.0,1,22,1.2684354561304572,0.9999999996187419
5,9,1,2,10,0,3,2.0,1,23,1.2684354560469648,0.9999999998627469
5,9,1,2,10,0,3,2.0,1,24,1.268435456016907,0.9999999999505885
5,9,1,2,10,0,3,2.0,1,25,1.2684354560060866,0.9999999999822116
5,9,1,2,10,0,3,2.0,1,26,1.2684354560021913,0.9999999999935959
5,9,1,2,10,0,3,2.0,1,27,1.2684354560007887,0.9999999999976943
5,9,1,2,10,0,3,2.0,1,28,1.268435456000284,0.9999999999991698
5,9,1,2,10,0,3,2.0,1,29,1.2684354560001019,0.9999999999997007
5,9,1,2,10,0,3,2.0,1,30,1.2684354560000368,0.999999999999892
5,9,1,2,10,0,3,2.0,1,31,1.2684354560000135,0.9999999999999611
5,9,1,2,10,0,3,2.0,1,32,1.2684354560000044,0.9999999999999856
5,9,1,2,10,0,3,2.0,1,33,1.2684354560000015,0.9999999999999943
5,9,1,2,10,0,3,2.0,1,34,1.2684354560000004,0.9999999999999976
5,9,1,2,10,0,3,2.0,1,35,1.268435456,0.9999999999999987
5,9,1,2,10,0,3,2.0,1,36,1.2684354560000002,0.9999999999999994
5,9,1,2,10,0,3,2.0,1,37,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,38,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,39,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,40,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,41,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,42,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,43,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,44,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,45,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,46,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,47,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,48,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,49,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,50,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,51,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,52,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,53,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,54,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,55,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,56,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,57,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,58,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,59,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,60,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,61,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,62,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,63,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,64,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,65,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,66,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,67,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,68,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,69,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,70,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,71,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,72,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,73,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,74,1.2684354559999997,0.9999999999999996
