pop,gen,cost,compositionality,agent
6,27,31.354899999999997,0.03125,rational
6,28,22.182718749999996,0.03125,rational
6,29,20.731499999999993,0.0,rational
6,30,22.769762499999988,0.0,rational
6,31,22.800796874999993,0.03125,rational
7,1,53.34369999999996,0.0,rational
7,2,22.76976249999999,0.0,rational
7,3,23.788893749999993,0.0,rational
7,4,20.731499999999993,0.0,rational
7,5,28.884549999999997,0.0,rational
7,6,28.88454999999999,0.0,rational
7,7,22.80079687499999,0.03125,rational
7,8,29.903681249999995,0.0,rational
7,9,29.903681249999995,0.0,rational
7,10,24.839059374999994,0.03125,rational
7,11,28.142549999999996,0.09375,rational
7,12,36.758721875000006,0.15625,rational
7,13,26.290278124999993,0.0625,rational
7,14,21.595674999999993,0.0625,rational
7,15,21.16358749999999,0.03125,rational
7,16,28.884549999999994,0.0,rational
7,17,29.903681249999995,0.0,rational
7,18,29.903681249999998,0.0,rational
7,19,24.80802499999999,0.0,rational
7,20,20.731499999999993,0.0,rational
7,21,22.769762499999995,0.0,rational
7,22,22.76976249999999,0.0,rational
7,23,27.89645312499999,0.03125,rational
7,24,24.498112499999998,0.125,rational
7,25,22.182718749999992,0.03125,rational
7,26,25.24011249999999,0.03125,rational
7,27,22.182718749999992,0.03125,rational
7,28,22.027762499999994,0.09375,rational
7,29,27.710462499999995,0.0625,rational
7,30,20.731499999999993,0.0,rational
7,31,24.80802499999999,0.0,rational
8,1,53.34369999999996,0.0,rational
8,2,24.808024999999994,0.0,rational
8,3,23.788893749999993,0.0,rational
8,4,24.80802499999999,0.0,rational
8,5,24.80802499999999,0.0,rational
8,6,23.788893749999993,0.0,rational
8,7,21.750631249999994,0.0,rational
8,8,23.78889374999999,0.0,rational
8,9,24.808024999999994,0.0,rational
8,10,26.846287499999992,0.0,rational
8,11,20.731499999999993,0.0,rational
8,12,29.903681249999998,0.0,rational
8,13,24.808024999999994,0.0,rational
8,14,25.82715624999999,0.0,rational
8,15,33.98020625,0.0,rational
8,16,21.750631249999994,0.0,rational
8,17,21.750631249999994,0.0,rational
8,18,21.75063124999999,0.0,rational
8,19,23.78889374999999,0.0,rational
8,20,20.731499999999993,0.0,rational
8,21,28.884549999999994,0.0,rational
8,22,26.846287499999992,0.0,rational
8,23,20.731499999999993,0.0,rational
8,24,25.827156249999994,0.0,rational
8,25,23.788893749999993,0.0,rational
8,26,25.82715624999999,0.0,rational
8,27,23.78889374999999,0.0,rational
8,28,27.865418749999993,0.0,rational
8,29,24.808024999999994,0.0,rational
8,30,26.846287499999992,0.0,rational
8,31,26.846287499999992,0.0,rational
9,1,53.34369999999996,0.0,rational
9,2,21.75063124999999,0.0,rational
9,3,20.731499999999993,0.0,rational
9,4,20.731499999999993,0.0,rational
9,5,30.922812499999996,0.0,rational
9,6,22.76976249999999,0.0,rational
9,7,26.877321874999993,0.03125,rational
9,8,24.80802499999999,0.0,rational
9,9,32.961074999999994,0.0,rational
9,10,22.76976249999999,0.0,rational
9,11,26.846287499999992,0.0,rational
9,12,22.769762499999995,0.0,rational
9,13,28.88454999999999,0.0,rational
9,14,25.827156249999994,0.0,rational
9,15,25.82715624999999,0.0,rational
9,16,26.877321874999993,0.03125,rational
9,17,20.731499999999993,0.0,rational
9,18,24.80802499999999,0.0,rational
9,19,22.769762499999995,0.0,rational
9,20,27.865418749999996,0.0,rational
9,21,23.819928124999993,0.03125,rational
9,22,20.731499999999993,0.0,rational
9,23,27.896453124999994,0.03125,rational
9,24,20.731499999999993,0.0,rational
9,25,23.788893749999993,0.0,rational
9,26,28.884549999999994,0.0,rational
9,27,26.846287499999995,0.0,rational
9,28,22.769762499999995,0.0,rational
9,29,23.78889374999999,0.0,rational
9,30,26.846287499999992,0.0,rational
9,31,24.808024999999994,0.0,rational
10,1,53.34369999999996,0.0,rational
10,2,29.934715624999995,0.03125,rational
10,3,21.75063124999999,0.0,rational
10,4,25.82715624999999,0.0,rational
10,5,25.82715624999999,0.0,rational
10,6,27.865418749999993,0.0,rational
10,7,24.839059374999994,0.03125,rational
10,8,24.808024999999994,0.0,rational
10,9,24.808024999999994,0.0,rational
10,10,24.808024999999994,0.0,rational
10,11,26.846287499999995,0.0,rational
10,12,27.865418749999993,0.0,rational
10,13,27.865418749999993,0.0,rational
10,14,21.750631249999994,0.0,rational
10,15,22.769762499999988,0.0,rational
10,16,22.769762499999995,0.0,rational
10,17,21.75063124999999,0.0,rational
10,18,26.846287499999992,0.0,rational
10,19,21.75063124999999,0.0,rational
10,20,26.846287499999995,0.0,rational
10,21,23.788893749999993,0.0,rational
10,22,20.731499999999993,0.0,rational
10,23,20.731499999999993,0.0,rational
10,24,24.808024999999986,0.0,rational
10,25,27.896453124999994,0.03125,rational
10,26,27.710462499999995,0.0625,rational
10,27,27.278374999999993,0.03125,rational
10,28,27.865418749999993,0.0,rational
10,29,23.788893749999993,0.0,rational
10,30,23.788893749999993,0.0,rational
10,31,25.827156249999994,0.0,rational
11,1,53.34369999999996,0.0,rational
11,2,25.82715624999999,0.0,rational
11,3,22.769762499999995,0.0,rational
11,4,25.827156249999994,0.0,rational
11,5,22.76976249999999,0.0,rational
11,6,22.76976249999999,0.0,rational
11,7,27.896453124999994,0.03125,rational
11,8,24.653068749999996,0.0625,rational
11,9,25.517243749999995,0.125,rational
11,10,25.362287499999997,0.1875,rational
11,11,22.76976249999999,0.0,rational
11,12,24.808024999999994,0.0,rational
11,13,26.846287499999992,0.0,rational
11,14,24.808024999999994,0.0,rational
11,15,28.884549999999994,0.0,rational
11,16,25.82715624999999,0.0,rational
11,17,20.731499999999993,0.0,rational
11,18,25.827156249999994,0.0,rational
11,19,25.858190624999988,0.03125,rational
11,20,23.788893749999993,0.0,rational
11,21,23.78889374999999,0.0,rational
11,22,27.865418749999993,0.0,rational
11,23,22.800796874999993,0.03125,rational
11,24,25.827156249999994,0.0,rational
11,25,20.731499999999993,0.0,rational
11,26,26.84628749999999,0.0,rational
11,27,23.788893749999996,0.0,rational
11,28,25.827156249999994,0.0,rational
11,29,25.827156249999994,0.0,rational
11,30,24.808024999999994,0.0,rational
11,31,27.865418749999993,0.0,rational
12,1,53.34369999999996,0.0,rational
12,2,20.731499999999993,0.0,rational
12,3,25.85819062499999,0.03125,rational
12,4,23.788893749999993,0.0,rational
12,5,29.903681249999995,0.0,rational
12,6,32.961074999999994,0.0,rational
