S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,asymptotic_cost,comp_cost,bespoke_cost
15,128,10,0,100,9,1,0.9999999503588481,1.0023377316001585,1.0023377316001585,5.654367459757416
16,128,10,0,100,9,1,0.9999998663395944,1.0041341644647617,1.0041341644647617,6.059370882290802
17,128,10,0,100,9,1,0.9999996734232443,1.0068222349972207,1.0068222349972207,6.4167417417087735
18,128,10,0,100,9,1,0.9999992696931141,1.0106307878515728,1.0106307878515728,6.732270414706168
19,128,10,0,100,9,1,0.9999984898423511,1.0157885335886654,1.0157885335886654,7.011295223863869
20,128,10,0,100,9,1,0.9999970841716065,1.0225145851885342,1.0225145851885342,7.258581507283076
2,256,10,0,100,9,1,4.999999999999998e-11,4.999999955039998e-9,4.999999955039998e-9,0.0
3,256,10,0,100,9,1,5.000000000064264e-11,5.00080376854495e-9,5.00080376854495e-9,8.038014698286132e-13
4,256,10,0,100,9,1,5.000039890269718e-11,6.728005278649072e-7,6.728005278649072e-7,6.678005282090281e-7
5,256,10,0,100,9,1,5.0139278786105555e-11,0.00028936310924266136,0.00028936310924266136,0.0002893581093654784
6,256,10,0,100,9,1,5.31556837347283e-11,0.0073786931702387705,0.0073786931702387705,0.00737868817318965
7,256,10,0,100,9,1,7.735052097206601e-11,0.05099884297047295,0.05099884297047295,0.05099883799616566
8,256,10,0,100,9,1,0.003037416352302061,0.17389669309414346,0.17389669309414346,0.1774627962105124
9,256,10,0,100,9,1,0.043251762346477075,0.23558836208481754,0.23558836208481754,0.4157878908003409
10,256,10,0,100,9,1,0.09736293896124018,0.21802655252851727,0.21802655252851727,0.7631498390659374
11,256,10,0,100,9,1,0.17255614384742857,0.219043508874532,0.219043508874532,1.1949347393051744
12,256,10,0,100,9,1,0.2743688220570938,0.2857750875800927,0.2857750875800927,1.679684113528522
13,256,10,0,100,9,1,0.40603183757682554,0.4079029202672686,0.4079029202672686,2.188667256534786
14,256,10,0,100,9,1,0.5697068135075138,0.5699208553757453,0.5699208553757453,2.6996424067667353
15,256,10,0,100,9,1,0.7671754757462264,0.7671930944552656,0.7671930944552656,3.197187136996354
16,256,10,0,100,9,1,0.9999899800243066,0.9999910491764316,0.9999910491764316,3.6715975489153614
17,256,10,0,100,9,1,0.9999999995618309,1.0000029101868253,1.0000029101868253,4.117457457978776
