S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
10,9,10,0,10.001,1,1,11,9.134361820297594,9.566762295508334e-5
10,9,10,0,10.001,1,1,12,9.133893433748007,0.00015094344456401343
10,9,10,0,10.001,1,1,13,9.133154497884595,0.0002381480273165418
10,9,10,0,10.001,1,1,14,9.131988854916274,0.00037571079578724276
10,9,10,0,10.001,1,1,15,9.130150388564005,0.0005926786812244813
10,9,10,0,10.001,1,1,16,9.12725145999515,0.0009348032353935595
10,9,10,0,10.001,1,1,17,9.122682171956036,0.0014740732164964774
10,9,10,0,10.001,1,1,18,9.115484529387942,0.002323576974313636
10,9,10,0,10.001,1,1,19,9.104157717264332,0.0036605111918132996
10,9,10,0,10.001,1,1,20,9.086360298229685,0.005761396921680287
10,9,10,0,10.001,1,1,21,9.058463411275198,0.009054982954644865
10,9,10,0,10.001,1,1,22,9.014901640288729,0.014199275618332704
10,9,10,0,10.001,1,1,23,8.947281631520022,0.022187742987730512
10,9,10,0,10.001,1,1,24,8.843283120053824,0.0344813491646456
10,9,10,0,10.001,1,1,25,8.685605918289722,0.053138024238761426
10,9,10,0,10.001,1,1,26,8.45171022533641,0.08085407348751117
10,9,10,0,10.001,1,1,27,8.115947606221985,0.12073239397455163
10,9,10,0,10.001,1,1,28,7.65651199903377,0.175490625285613
10,9,10,0,10.001,1,1,29,7.068803630654347,0.2459051379122676
10,9,10,0,10.001,1,1,30,6.381379657228294,0.3288945029032217
10,9,10,0,10.001,1,1,31,5.661236295887995,0.41674790837702186
10,9,10,0,10.001,1,1,32,4.994193857452741,0.499217847956996
10,9,10,0,10.001,1,1,33,4.447518379764067,0.567855684228532
10,9,10,0,10.001,1,1,34,4.045081471427112,0.6191826939587092
10,9,10,0,10.001,1,1,35,3.7725046602403607,0.6544371581651467
10,9,10,0,10.001,1,1,36,3.59834117235976,0.6772129643385449
10,9,10,0,10.001,1,1,37,3.4911896022396975,0.6913360938328966
10,9,10,0,10.001,1,1,38,3.426788565869189,0.6998687970135486
10,9,10,0,10.001,1,1,39,3.3886210473245733,0.7049423440991519
10,9,10,0,10.001,1,1,40,3.3661878234505203,0.707930325431361
10,9,10,0,10.001,1,1,41,3.3530665551601455,0.7096800966411136
10,9,10,0,10.001,1,1,42,3.345413665456716,0.7107013599490076
10,9,10,0,10.001,1,1,43,3.3409575568345264,0.7112962655658104
10,9,10,0,10.001,1,1,44,3.338365362942116,0.7116424160760221
10,9,10,0,10.001,1,1,45,3.336858284779558,0.7118436932782954
10,9,10,0,10.001,1,1,46,3.335982368539816,0.7119606855247136
10,9,10,0,10.001,1,1,47,3.335473380995996,0.7120286719825083
10,9,10,0,10.001,1,1,48,3.3351776451604698,0.7120681750918085
10,9,10,0,10.001,1,1,49,3.335005825445966,0.7120911263941275
10,9,10,0,10.001,1,1,50,3.334906003528921,0.7121044605129758
10,9,10,0,10.001,1,1,51,3.3348480113469003,0.7121122070969527
10,9,10,0,10.001,1,1,52,3.3348143208395884,0.7121167074823774
10,9,10,0,10.001,1,1,53,3.3347947485114093,0.7121193219631198
10,9,10,0,10.001,1,1,54,3.334783378115397,0.7121208408275552
10,9,10,0,10.001,1,1,55,3.3347767725860678,0.7121217231987403
10,9,10,0,10.001,1,1,56,3.334772935168676,0.7121222358037997
10,9,10,0,10.001,1,1,57,3.3347707058605764,0.7121225335964902
10,9,10,0,10.001,1,1,58,3.3347694107676276,0.7121227065960235
10,9,10,0,10.001,1,1,59,3.3347686583972957,0.7121228070982508
10,9,10,0,10.001,1,1,60,3.3347682213159042,0.7121228654839326
10,9,10,0,10.001,1,1,61,3.334767967398233,0.7121228994024589
10,9,10,0,10.001,1,1,62,3.3347678198875386,0.7121229191070567
10,9,10,0,10.001,1,1,63,3.334767734192813,0.7121229305542275
